"GeometryIds","Points:0","Points:1","Points:2","a","arc_length","current density:0","current density:1","current density:2","magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","magnetic vector potential:0","magnetic vector potential:1","magnetic vector potential:2"
15,-0.0043701,0.040062,0,-0.00041488,0.011746,0,0,0,13922,-87854,0,0.017494,-0.1104,0,0,0,-0.00041779
16,-0.0041729,0.040083,0,-0.00039281,0.011944,0,0,0,10111,-86712,0,0.012706,-0.10896,0,0,0,-0.0003878
16,-0.0041729,0.040083,0,-0.00039281,0.011944,0,0,0,10111,-86712,0,0.012706,-0.10896,0,0,0,-0.0003878
16,-0.0038758,0.040113,0,-0.0003605,0.012243,0,0,0,9115.2,-84512,0,0.011455,-0.1062,0,0,0,-0.00035545
16,-0.0038758,0.040113,0,-0.0003605,0.012243,0,0,0,9115.2,-84512,0,0.011455,-0.1062,0,0,0,-0.00035545
16,-0.0035785,0.040141,0,-0.00032901,0.012541,0,0,0,8180.3,-82553,0,0.01028,-0.10374,0,0,0,-0.00032392
16,-0.0035785,0.040141,0,-0.00032901,0.012541,0,0,0,8180.3,-82553,0,0.01028,-0.10374,0,0,0,-0.00032392
16,-0.003281,0.040166,0,-0.00029824,0.01284,0,0,0,7301.1,-80837,0,0.0091748,-0.10158,0,0,0,-0.0002931
16,-0.003281,0.040166,0,-0.00029824,0.01284,0,0,0,7301.1,-80837,0,0.0091748,-0.10158,0,0,0,-0.0002931
15,-0.0031907,0.040173,0,-0.00028911,0.01293,0,0,0,9086.5,-80032,0,0.011418,-0.10057,0,0,0,-0.00029284
15,-0.0029833,0.040189,0,-0.00026811,0.013138,0,0,0,8351.3,-79023,0,0.010495,-0.099303,0,0,0,-0.00027198
15,-0.0029833,0.040189,0,-0.00026811,0.013138,0,0,0,8351.3,-79023,0,0.010495,-0.099303,0,0,0,-0.00027198
15,-0.0028721,0.040197,0,-0.00025707,0.01325,0,0,0,7984.4,-78540,0,0.010033,-0.098697,0,0,0,-0.00026101
16,-0.0026854,0.04021,0,-0.00023853,0.013437,0,0,0,5702,-78053,0,0.0071653,-0.098084,0,0,0,-0.00023327
16,-0.0026854,0.04021,0,-0.00023853,0.013437,0,0,0,5702,-78053,0,0.0071653,-0.098084,0,0,0,-0.00023327
15,-0.0025153,0.040221,0,-0.00022191,0.013607,0,0,0,6851.4,-77105,0,0.0086098,-0.096893,0,0,0,-0.00022609
15,-0.0023874,0.040229,0,-0.00020941,0.013736,0,0,0,6462.9,-76635,0,0.0081215,-0.096302,0,0,0,-0.00021368
15,-0.0023874,0.040229,0,-0.00020941,0.013736,0,0,0,6462.9,-76635,0,0.0081215,-0.096302,0,0,0,-0.00021368
15,-0.0020893,0.040246,0,-0.00018072,0.014034,0,0,0,5582.7,-75650,0,0.0070155,-0.095064,0,0,0,-0.00018518
15,-0.0020893,0.040246,0,-0.00018072,0.014034,0,0,0,5582.7,-75650,0,0.0070155,-0.095064,0,0,0,-0.00018518
15,-0.001791,0.04026,0,-0.00015237,0.014333,0,0,0,4754.5,-74858,0,0.0059746,-0.09407,0,0,0,-0.00015703
15,-0.001791,0.04026,0,-0.00015237,0.014333,0,0,0,4754.5,-74858,0,0.0059746,-0.09407,0,0,0,-0.00015703
15,-0.001535,0.040271,0,-0.0001283,0.014589,0,0,0,4070.4,-74262,0,0.005115,-0.093321,0,0,0,-0.00013314
16,-0.0014927,0.040272,0,-0.00012432,0.014631,0,0,0,2919,-74490,0,0.0036681,-0.093607,0,0,0,-0.00011875
16,-0.0014927,0.040272,0,-0.00012432,0.014631,0,0,0,2919,-74490,0,0.0036681,-0.093607,0,0,0,-0.00011875
15,-0.0013784,0.040276,0,-0.00011367,0.014746,0,0,0,3665.2,-73955,0,0.0046058,-0.092934,0,0,0,-0.00011861
15,-0.0011942,0.040282,0,-9.651e-05,0.01493,0,0,0,3194.6,-73618,0,0.0040144,-0.092512,0,0,0,-0.00010158
15,-0.0011942,0.040282,0,-9.651e-05,0.01493,0,0,0,3194.6,-73618,0,0.0040144,-0.092512,0,0,0,-0.00010158
15,-0.00089572,0.04029,0,-6.8896e-05,0.015229,0,0,0,2427.6,-73164,0,0.0030506,-0.09194,0,0,0,-7.4173e-05
15,-0.00089572,0.04029,0,-6.8896e-05,0.015229,0,0,0,2427.6,-73164,0,0.0030506,-0.09194,0,0,0,-7.4173e-05
